HOME_ID,HOME_NM,DOG_TP,DOG_ID,DOG_NM,是否保留
10001,舒晓家,2,9,旺财,
10002,经登家,2,9,旺财,
10003,乔垚家,2,9,旺财,
10004,祝河家,2,9,旺财,
10005,贺治家,2,11,富贵,
10006,李昱家,2,9,旺财,保留
10007,裴纯家,2,9,旺财,
10008,尚宇家,2,9,旺财,
10009,李庄家,2,9,旺财,
10010,傅耘家,2,9,旺财,
10011,井拓家,2,9,旺财,
10012,郭茵家,2,9,旺财,
10013,毕望家,2,9,旺财,
10014,时垒家,2,11,富贵,保留
10015,萧嵘家,2,9,旺财,
10016,何赢家,2,11,富贵,
10017,支剑家,2,9,旺财,
10018,廉胤家,2,9,旺财,保留
10019,管菊家,2,9,旺财,
10020,鲍才家,2,9,旺财,
10021,常义家,2,9,旺财,
10022,刘成家,2,11,富贵,
10023,褚和家,2,9,旺财,
10024,杜梅家,2,9,旺财,
10025,温岩家,2,9,旺财,
